撟????????????迂,?孵?,??,鈭辣?潛?,"鈭斗銝剖?
?亦?","CCTV
????曉","CMS
?澆?鞈?","鈭斗銝剖?
?撌亙?畾?,鈭???",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"撠??箇""","鈭???
撠??菟?","鈭???
撠?摰?",鈭辣?,????,鈭?憿?,甇颱滿,?,?扯楝???扯???銝剖頠?,銝剛???銝剖?頠?,憭???憭楝????,蝪∟??批捆,"蝧餉?鈭?
閮餉?","?賢極鈭?
閮餉?","?梢?拙?頠?
閮餉?","頠?韏瑞
閮餉?",??頠???閮餉?,"銝餌?銝剜
閮餉?",??頠?,頠?1,頠?2,頠?3,頠?4,頠?5,頠?6,頠?7,頠?8,頠?9,頠?10,頠?11,頠?12,??,,,,,,,,,,,,,,,,,,,,,,
2023,4,17,15,58,??1????0.5,15:58,,,,,,,,16:02,4,A3,0,0,,,,,,,1,,"??3蝝?4/17,15:58????0.5K(蝯)2撠餈賣?雿憭楝?拐????∩犖?瑚滿,?∪???16:02?,靘?1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,5,5,17,39,??1????1.3,17:39,,,,,,,,17:49,10,A3,0.0,0.0,,,,,,1.0,,,??3蝝?5/05",17:39????1.3K(蝯)2撠餈賣?雿憭?頠?鈭?,?∩犖??∪???7:49?,靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,
2023,5,5,17,39,??1????1.3,17:39,,,,,,,,17:49,10,A3,0,0,,,,,,1,,,"??3蝝?5/05,17:39????1.3K(蝯)2撠餈賣?雿憭?頠?鈭?,?∩犖??∪???7:49?,靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,5,5,17,39,??1????1.3,17:39,,,,,,,,17:49,10,A3,0.0,0.0,,,,,,1.0,,,??3蝝?5/05",17:39????1.3K(蝯)2撠餈賣?雿憭?頠?鈭?,?∩犖??∪???7:49?,靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,
2023,10,4,18,37,??1????1.9,18:37,,,,,,,,19:19,42,A3,0,0,,,,,,1,,,"??3蝝?0/04,18:37????1.9K(蝯)雿憭?4撠餈賣?雿憭?頠?鈭?,?∩犖?,?∪???19:19?,靘?:1??,,,,,,,4.0,撠摰?撠摰?撠摰?""",撠摰?,,,,,,,,1,,,,,,,,,,,,,,,,,
2023,2,22,16,48,??1????1.9,16:48,,,,,,,,18:50,122,A3,0,0,,,,,,1,,,"??3蝝?2/22,16:48????1.9K(蝯)雿憭?1撠疏+1撠恥頠蕭?????∩犖?瑚滿,?2K,18:50?,靘?????,,,,,,,2.0,撠疏頠?""",撠摰?,,,,,,,,,,1,,,,,,,,,,,,,,,
2023,2,22,16,48,??1????1.9,16:48,,,,,,,,18:50,122,A3,0,0,,,,,,1,,,"??3蝝?2/22,16:48????1.9K(蝯)雿憭?1撠疏+1撠恥頠蕭?????∩犖?瑚滿,?2K,18:50?,靘?????,,,,,,,2.0,撠疏頠?""",撠摰?,,,,,,,,,,1,,,,,,,,,,,,,,,
2023,2,22,16,48,??1????1.9,16:48,,,,,,,,18:50,122,A3,0,0,,,,,,1,,,"??3蝝?2/22,16:48????1.9K(蝯)雿憭?1撠疏+1撠恥頠蕭?????∩犖?瑚滿,?2K,18:50?,靘?????,,,,,,,2.0,撠疏頠?""",撠摰?,,,,,,,,,,1,,,,,,,,,,,,,,,
2023,5,17,9,28,??1????2.0,09:28,,,,,,,,09:49,21,A3,0,0,,,,,,,,1,"??3蝝?5/17,09:28?????怠?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???09:49?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,30,9,21,??1????2.0,9:21,,,,,,,,10:21,60,A2,0.0,4.0,,,,,,,,1.0,??2蝝?6/30",09:21?????怠?亙(蝯)2撠+1憭扯疏頠蕭???典+憭頠?鈭?,4鈭箏??瑕????祇?10:21?,"靘?:""",,,,,,,3,撠摰?撠摰?憭扯疏頠?,,,,,,,,,1,,,,,,
2023,5,17,9,28,??1????2.0,09:28,,,,,,,,09:49,21,A3,0,0,,,,,,,,1,"??3蝝?5/17,09:28?????怠?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???09:49?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,30,9,21,??1????2.0,9:21,,,,,,,,10:21,60,A2,0.0,4.0,,,,,,,,1.0,??2蝝?6/30",09:21?????怠?亙(蝯)2撠+1憭扯疏頠蕭???典+憭頠?鈭?,4鈭箏??瑕????祇?10:21?,"靘?:""",,,,,,,3,撠摰?撠摰?憭扯疏頠?,,,,,,,,,1,,,,,,
2023,6,30,9,21,??1????2.0,09:21,,,,,,,,10:21,60,A2,0,4,,,,,,,,1,"??2蝝?6/30,09:21?????怠?亙(蝯)2撠+1憭扯疏頠蕭???典+憭頠?鈭?,4鈭箏??瑕????祇?10:21?,靘?:",,,,,,,3,撠摰?撠摰?憭扯疏頠?,,,,,,,,,1,,,,,,,,,
