方向,ETag,經度,緯度
0,01F3227N,120.25,23.014172
0,01H0579N,121.23298,24.983667
0,01F3640N,120.332085,22.658892
0,01F2249N,120.48488,23.830568
0,01F0880N,121.01903,24.848719
0,01F0633N,121.195595,24.949282
0,01F1621N,120.69733,24.301186
0,01H0608N,121.21162,24.965878
0,01F0956N,121.00372,24.783943
0,01F0376N,121.39731,25.058666
0,01F1774N,120.63561,24.184591
0,01F2156N,120.49765,23.91277
0,01F2011N,120.52279,24.04064
0,01F0099N,121.659424,25.076044
0,01F3590N,120.32818,22.703363
0,01F0293N,121.47296,25.074797
0,01F0213N,121.55036,25.073053
0,01F0467N,121.317764,25.047075
0,01F3676N,120.33622,22.62782
0,01F2674N,120.3777,23.469402
0,01F1572N,120.72085,24.339148
0,01F2472N,120.443115,23.639557
0,01F3736N,120.32315,22.581932
0,01H0174N,121.58804,25.065544
0,01H0271N,121.49402,25.075256
0,01F2394N,120.474915,23.702602
0,01F2322N,120.469345,23.766329
0,01F2714N,120.361565,23.436367
0,01F1906N,120.56813,24.113571
0,01F0750N,121.11173,24.893436
0,01F0532N,121.2662,25.012943
0,01H0208N,121.555016,25.072262
0,01F3185N,120.25302,23.051311
0,01F2603N,120.40559,23.52674
0,01F2930N,120.26577,23.272589
0,01F0664N,121.17692,24.929544
0,01F1389N,120.781906,24.48592
0,01H0447N,121.33207,25.059242
0,01F1123N,120.90427,24.679317
0,01F0699N,121.15976,24.903297
0,01F1465N,120.775734,24.420513
0,01F3126N,120.24768,23.104816
0,01F3083N,120.23327,23.14075
0,01H0200N,121.562515,25.070993
0,01H0333N,121.435135,25.068148
0,01F3696N,120.33961,22.609428
0,01F1960N,120.52785,24.085623
0,01F0557N,121.24772,24.998583
0,01F1664N,120.691956,24.262648
0,01F3286N,120.249825,22.960903
0,01F0584N,121.22894,24.980558
0,01F0233N,121.5307,25.073019
0,01F3525N,120.3308,22.761671
0,01F3460N,120.31273,22.818039
0,01F1699N,120.68662,24.231537
0,01F2425N,120.46228,23.677376
0,01F0147N,121.61352,25.065643
0,01F0256N,121.50911,25.078068
0,01F1802N,120.62193,24.163706
0,01F3366N,120.27215,22.892618
0,01F0413N,121.36356,25.064968
0,01F2866N,120.298706,23.320993
0,01F0681N,121.16759,24.917967
0,01F0511N,121.28173,25.025953
0,01F3019N,120.23642,23.197287
0,01F0979N,120.99989,24.764414
0,01F1292N,120.83893,24.550442
0,01F2827N,120.32219,23.34747
0,01F3398N,120.28499,22.867418
0,01F0005N,121.731636,25.11831
0,01F0017N,121.72591,25.109568
0,01F0029N,121.71786,25.102837
0,01F0061N,121.69364,25.088272
0,01F2089N,120.50612,23.971794
0,01F3252N,120.24818,22.991814
0,01F1839N,120.61725,24.130768
0,01F0340N,121.428055,25.068
0,01F0928N,121.01031,24.808453
0,01F0492N,121.29553,25.036482
0,01F1045N,120.9519,24.72713
0,01F0155N,121.6059,25.064753
0,01F2514N,120.43542,23.60199
0,01F3559N,120.33429,22.730904
1,01F0880S,121.01903,24.848719
1,01F1621S,120.69733,24.301186
1,01F0147S,121.61352,25.065643
1,01F2322S,120.469345,23.766329
1,01F0492S,121.29553,25.036482
1,01F2866S,120.298706,23.320993
1,01F2827S,120.32219,23.34747
1,01F0339S,121.428764,25.06824
1,01F0681S,121.16759,24.917967
1,01F2714S,120.361565,23.436367
1,01F3736S,120.32315,22.581932
1,01H0163S,121.59873,25.064007
1,01F1699S,120.68662,24.231537
1,01F3640S,120.332085,22.658892
1,01F3676S,120.33622,22.62782
1,01F3525S,120.3308,22.761671
1,01F0557S,121.24772,24.998583
1,01F3460S,120.31273,22.818039
1,01H0334S,121.43328,25.068727
1,01F0413S,121.36356,25.064968
1,01F1572S,120.72085,24.339148
1,01F1664S,120.691956,24.262648
1,01F3019S,120.23642,23.197287
1,01H0579S,121.23253,24.984095
1,01F1802S,120.62193,24.163706
1,01F3366S,120.27215,22.892618
1,01F2472S,120.443115,23.639557
1,01F0699S,121.15976,24.903297
1,01F2425S,120.46228,23.677376
1,01F3083S,120.23327,23.14075
1,01F0376S,121.39731,25.058666
1,01F0950S,121.00525,24.789621
1,01F1389S,120.781906,24.48592
1,01F1774S,120.63561,24.184591
1,01F2011S,120.52279,24.04064
1,01F1839S,120.61725,24.130768
1,01F1123S,120.90427,24.679317
1,01F2156S,120.49765,23.91277
1,01F0264S,121.50139,25.077463
1,01F1960S,120.52785,24.085623
1,01F3227S,120.25,23.014172
1,01F0293S,121.47296,25.074797
1,01F2089S,120.50612,23.971794
1,01F3561S,120.33376,22.728956
1,01F3590S,120.32818,22.703363
1,01F0155S,121.6059,25.064753
1,01F0099S,121.65948,25.076263
1,01F2674S,120.3777,23.469402
1,01F0511S,121.28173,25.025953
1,01F2930S,120.26577,23.272589
1,01F3185S,120.25302,23.051311
