,調價日期,無鉛汽油92
1,2024/3/4,29.5
2,2024/2/26,29.4
3,2024/2/19,29.4
4,2024/2/12,29.0
6,2024/2/5,29.0
7,2024/1/29,29.0
8,2024/1/22,28.9
9,2024/1/15,29.0
10,2024/1/8,29.2
13,2024/1/1,29.5
15,2023/12/25,29.6
17,2023/12/18,29.2
19,2023/12/11,29.5
22,2023/12/4,29.5
23,2023/11/27,29.5
25,2023/11/20,29.5
27,2023/11/13,29.6
29,2023/11/6,29.7
31,2023/10/30,29.7
33,2023/10/23,29.9
35,2023/10/16,30.2
37,2023/10/9,30.7
39,2023/10/2,30.8
40,2023/9/25,31.1
42,2023/9/18,31.4
44,2023/9/11,31.6
46,2023/9/4,31.2
48,2023/8/28,31.1
49,2023/8/21,31.2
51,2023/8/14,31.1
53,2023/8/7,30.5
56,2023/7/31,30.3
57,2023/7/24,29.8
59,2023/7/17,29.5
60,2023/7/10,29.1
62,2023/7/3,28.8
64,2023/6/26,28.9
65,2023/6/19,28.5
66,2023/6/12,28.8
68,2023/6/5,28.5
69,2023/5/29,28.9
70,2023/5/22,28.6
71,2023/5/15,28.8
73,2023/5/8,28.6
76,2023/5/1,29.6
78,2023/4/24,29.6
79,2023/4/17,29.8
81,2023/4/10,29.5
83,2023/4/3,28.9
85,2023/3/27,28.4
87,2023/3/20,28.9
88,2023/3/13,29.2
89,2023/3/6,28.9
91,2023/2/27,29.0
92,2023/2/20,29.1
94,2023/2/13,29.2
95,2023/2/6,29.5
96,2023/1/30,29.6
97,2023/1/23,29.1
98,2023/1/16,29.1
99,2023/1/9,29.1
101,2023/1/2,29.5
102,2022/12/26,29.1
103,2022/12/19,29.0
105,2022/12/12,28.9
107,2022/12/5,29.3
109,2022/11/28,29.1
111,2022/11/21,29.2
113,2022/11/14,29.0
114,2022/11/7,29.1
116,2022/10/31,29.1
117,2022/10/24,28.8
119,2022/10/17,28.9
121,2022/10/10,29.2
124,2022/10/3,29.3
126,2022/9/26,29.2
128,2022/9/19,29.2
130,2022/9/12,29.0
132,2022/9/5,29.1
134,2022/8/29,29.2
135,2022/8/22,29.5
136,2022/8/15,29.6
138,2022/8/8,29.8
140,2022/8/1,29.5
142,2022/7/25,29.3
144,2022/7/18,29.5
146,2022/7/11,29.8
149,2022/7/4,30.0
150,2022/6/27,30.0
152,2022/6/20,29.6
154,2022/6/13,29.5
156,2022/6/6,29.5
158,2022/5/30,30.1
160,2022/5/23,30.2
162,2022/5/16,30.2
164,2022/5/9,30.3
166,2022/5/2,30.4
168,2022/4/25,30.5
169,2022/4/18,30.8
171,2022/4/11,31.0
174,2022/4/4,31.0
