日期,西德州,杜拜,北海布蘭特,匯率
2000/1/3,25.55,22.28,23.93,31.395
2000/1/4,24.91,22.12,23.77,30.602
2000/1/5,24.78,23.68,25.08,30.8
2000/1/6,24.22,21.61,23.26,30.854
2000/1/7,25.6,25.6,26.28,30.86
2000/1/10,24.67,21.08,22.73,30.835
2000/1/11,25.77,21.08,22.73,30.821
2000/1/12,26.28,22.85,24.5,30.828
2000/1/13,26.69,23.28,24.93,30.838
2000/1/14,28.02,23.74,25.39,30.85
2000/1/17,28.8,26.15,28.65,30.835
2000/1/18,29.54,24.58,26.23,30.837
2000/1/19,29.66,24.61,26.26,30.838
2000/1/20,29.83,27.18,29.83,30.832
2000/1/21,29.03,23.74,25.39,30.821
2000/1/24,27.83,25.63,27.13,30.812
2000/1/25,28.28,25.6,27.11,30.813
2000/1/26,27.84,25.66,26.5,30.794
2000/1/27,27.32,25.37,26.97,30.78
2000/1/28,27.22,24.82,26.42,30.709
2000/1/31,27.64,25.08,26.17,30.699
2000/2/1,28.22,25.83,27.34,30.685
2000/2/2,27.55,25.4,26.95,30.784
2000/2/3,28.14,25.98,27.5,30.788
2000/2/4,28.82,25.99,27.58,N/A
2000/2/5,27.22,24.82,26.42,N/A
2000/2/7,28.45,26.34,27.94,N/A
2000/2/8,28.02,25.97,27.62,30.734
2000/2/9,28.71,25.74,27.59,30.637
2000/2/10,29.43,26.09,27.59,30.62
2000/2/11,29.44,25.87,28.82,30.625
2000/2/14,30.25,26.4,29.14,30.72
2000/2/15,30.06,26.63,28.53,30.712
2000/2/16,29.46,26.63,28.53,30.702
2000/2/17,29.46,26.63,28.53,30.715
2000/2/18,29.51,26.09,27.85,30.715
2000/2/21,27.5,26.4,29.14,30.707
2000/2/22,27.25,26.63,28.53,30.791
2000/2/23,26.75,26.63,28.53,30.785
2000/2/24,26.75,26.09,28.53,30.785
2000/2/25,26.75,26.09,27.85,30.764
2000/2/29,30.43,25.44,29.12,30.754
2000/3/1,31.66,26.37,30.02,30.736
2000/3/2,31.55,26.47,30.12,30.712
2000/3/3,31.37,26.44,30.17,30.745
2000/3/6,31.66,26.37,30.02,30.764
2000/3/7,31.55,26.47,30.12,30.762
2000/3/8,31.37,26.44,30.17,30.766
2000/3/9,31.55,25.18,28.16,30.758
2000/3/10,31.64,26,29.35,30.736
2000/3/13,31.63,25.53,28.52,30.741
2000/3/14,32.1,25.86,29.16,30.738
2000/3/15,31.55,25.18,28.16,30.742
2000/3/16,30.68,25.18,28.16,30.756
2000/3/17,30.53,24.5,28.09,30.766
2000/3/20,29.43,25.61,25.8,30.791
2000/3/21,28,25.04,25.51,30.738
2000/3/23,26.78,23.45,24.75,30.674
2000/3/24,27.48,24,25.2,30.664
2000/3/27,27.4,24.05,25.45,30.627
2000/3/28,26.68,23.7,24.61,30.605
2000/3/29,26.05,23.75,24.2,30.531
2000/3/30,26.3,23.37,23.63,30.482
2000/3/31,26.5,23.9,23.86,30.49
2000/4/3,26.13,23.72,23.6,N/A
