,星期,時間,方向,里程,車速,交通量
0,2,1,0,1.7,93,14
1,2,1,0,2.9,86,21
2,2,1,0,6.1,93,23
3,2,1,0,9.9,93,47
4,2,1,0,14.7,97,34
5,2,1,0,15.5,100,45
6,2,1,0,17.4,109,14
7,2,1,0,20.0,100,16
8,2,1,0,20.8,104,28
9,2,1,0,21.3,97,38
10,2,1,0,23.3,93,34
11,2,1,0,25.6,97,55
12,2,1,0,27.1,104,26
13,2,1,0,29.3,100,54
14,2,1,0,33.3,100,26
15,2,1,0,34.0,97,54
16,2,1,0,34.0,97,9
17,2,1,0,37.6,97,58
18,2,1,0,41.3,97,37
19,2,1,0,44.7,93,36
20,2,1,0,44.7,97,25
21,2,1,0,46.7,93,42
22,2,1,0,49.2,97,41
23,2,1,0,51.1,104,43
24,2,1,0,53.2,100,48
25,2,1,0,55.7,100,55
26,2,1,0,55.7,0,3
27,2,1,0,57.9,100,18
28,2,1,0,58.4,97,33
29,2,1,0,60.8,108,11
30,2,1,0,60.8,104,12
31,2,1,0,63.3,100,24
32,2,1,0,63.3,97,5
33,2,1,0,66.4,97,25
34,2,1,0,68.1,99,36
35,2,1,0,69.9,97,25
36,2,1,0,75.0,104,28
37,2,1,0,75.0,104,19
38,2,1,0,88.0,104,43
39,2,1,0,92.8,100,47
40,2,1,0,95.6,108,34
41,2,1,0,97.9,104,40
42,2,1,0,104.5,104,39
43,2,1,0,112.3,100,38
44,2,1,0,129.2,100,33
45,2,1,0,138.9,104,39
46,2,1,0,146.5,104,34
47,2,1,0,157.2,100,32
48,2,1,0,162.1,102,30
49,2,1,0,166.4,108,23
50,2,1,0,169.9,100,31
51,2,1,0,177.4,100,21
52,2,1,0,180.2,100,18
53,2,1,0,183.9,102,28
54,2,1,0,190.6,104,32
55,2,1,0,196.0,111,26
56,2,1,0,201.1,108,26
57,2,1,0,208.9,111,27
58,2,1,0,215.6,111,40
59,2,1,0,224.9,111,27
60,2,1,0,232.2,104,25
61,2,1,0,239.4,111,29
62,2,1,0,242.5,113,24
63,2,1,0,247.2,111,21
64,2,1,0,251.4,108,22
65,2,1,0,260.3,104,15
66,2,1,0,267.4,108,17
67,2,1,0,271.4,108,24
68,2,1,0,282.7,108,14
69,2,1,0,286.6,111,28
70,2,1,0,293.0,111,21
71,2,1,0,301.9,106,34
72,2,1,0,308.3,108,19
73,2,1,0,312.6,108,32
74,2,1,0,318.5,104,30
75,2,1,0,322.7,104,37
76,2,1,0,325.2,104,31
77,2,1,0,328.6,100,29
78,2,1,0,336.6,104,30
79,2,1,0,339.8,111,39
80,2,1,0,346.0,108,36
81,2,1,0,353.5,104,31
82,2,1,0,355.9,102,46
83,2,1,0,359.0,104,46
84,2,1,0,364.0,104,34
85,2,1,0,367.6,100,40
86,2,1,0,369.6,97,45
87,2,1,0,373.6,75,1
88,2,1,1,0.5,82,13
89,2,1,1,1.7,93,15
90,2,1,1,2.9,90,9
91,2,1,1,6.1,93,19
92,2,1,1,9.9,93,14
93,2,1,1,9.9,109,6
94,2,1,1,14.7,97,24
95,2,1,1,15.5,97,19
96,2,1,1,16.3,97,13
97,2,1,1,18.2,90,23
98,2,1,1,20.6,99,24
99,2,1,1,24.8,95,58
100,2,1,1,26.4,97,52
101,2,1,1,29.3,97,42
102,2,1,1,30.5,97,21
103,2,1,1,30.5,100,5
104,2,1,1,33.4,97,11
105,2,1,1,33.9,93,80
106,2,1,1,33.9,93,33
107,2,1,1,37.6,97,45
108,2,1,1,41.3,100,50
109,2,1,1,44.7,100,19
110,2,1,1,46.7,93,44
111,2,1,1,49.2,97,50
112,2,1,1,51.1,97,35
113,2,1,1,53.2,3,2
114,2,1,1,53.2,93,70
115,2,1,1,55.7,97,44
116,2,1,1,57.8,100,30
117,2,1,1,57.8,100,5
118,2,1,1,57.9,97,11
119,2,1,1,57.9,95,14
120,2,1,1,61.0,104,36
121,2,1,1,63.3,97,38
122,2,1,1,66.4,97,38
123,2,1,1,68.1,93,23
124,2,1,1,69.9,100,23
125,2,1,1,75.0,104,57
126,2,1,1,88.0,100,49
127,2,1,1,92.8,104,35
128,2,1,1,95.0,104,36
129,2,1,1,98.0,100,33
130,2,1,1,104.5,104,36
131,2,1,1,112.3,104,38
132,2,1,1,129.2,106,34
133,2,1,1,138.9,102,26
134,2,1,1,146.5,100,33
135,2,1,1,157.2,100,34
136,2,1,1,162.1,108,24
137,2,1,1,166.4,108,31
138,2,1,1,169.9,108,35
139,2,1,1,177.4,111,26
140,2,1,1,180.2,111,22
141,2,1,1,183.9,111,30
142,2,1,1,190.6,108,35
143,2,1,1,196.0,106,30
144,2,1,1,201.1,108,27
145,2,1,1,208.9,108,24
146,2,1,1,215.6,111,25
147,2,1,1,224.9,104,27
148,2,1,1,232.2,115,20
149,2,1,1,239.4,111,18
150,2,1,1,242.5,111,17
151,2,1,1,247.2,109,22
152,2,1,1,251.4,111,34
153,2,1,1,260.3,111,19
154,2,1,1,267.4,113,18
155,2,1,1,271.4,108,13
156,2,1,1,282.7,104,27
157,2,1,1,286.6,111,26
158,2,1,1,293.0,104,29
159,2,1,1,301.9,108,33
160,2,1,1,308.3,111,32
161,2,1,1,312.6,108,27
162,2,1,1,318.5,109,26
163,2,1,1,322.7,111,31
164,2,1,1,325.2,108,27
165,2,1,1,328.6,108,41
166,2,1,1,336.6,115,46
167,2,1,1,339.8,115,31
168,2,1,1,346.0,108,40
169,2,1,1,353.5,100,47
170,2,1,1,356.1,104,46
171,2,1,1,359.0,108,29
172,2,1,1,364.0,108,31
173,2,1,1,367.6,97,39
174,2,1,1,368.6,99,2
175,2,2,0,1.7,97,21
176,2,2,0,2.9,90,36
177,2,2,0,6.1,97,40
178,2,2,0,9.9,97,47
179,2,2,0,14.7,100,27
180,2,2,0,15.5,97,47
181,2,2,0,17.4,111,13
182,2,2,0,20.0,97,16
183,2,2,0,20.8,100,23
184,2,2,0,21.3,90,48
185,2,2,0,23.3,93,32
186,2,2,0,25.6,93,57
187,2,2,0,27.1,100,26
188,2,2,0,29.3,97,45
189,2,2,0,33.3,100,22
190,2,2,0,34.0,97,45
191,2,2,0,34.0,100,12
192,2,2,0,37.6,90,59
193,2,2,0,41.3,97,40
194,2,2,0,44.7,97,37
195,2,2,0,44.7,93,17
196,2,2,0,46.7,93,35
197,2,2,0,49.2,99,42
198,2,2,0,51.1,100,39
199,2,2,0,53.2,97,32
200,2,2,0,55.7,100,44
201,2,2,0,55.7,0,2
202,2,2,0,57.9,102,20
203,2,2,0,58.4,100,35
204,2,2,0,60.8,106,8
205,2,2,0,60.8,104,20
206,2,2,0,63.3,104,37
207,2,2,0,63.3,99,10
208,2,2,0,66.4,100,33
209,2,2,0,68.1,104,31
210,2,2,0,69.9,100,16
211,2,2,0,75.0,108,16
212,2,2,0,75.0,104,27
213,2,2,0,88.0,100,49
214,2,2,0,92.8,104,51
215,2,2,0,95.6,108,33
216,2,2,0,97.9,100,28
217,2,2,0,104.5,97,29
218,2,2,0,112.3,100,27
219,2,2,0,129.2,104,34
220,2,2,0,138.9,111,33
221,2,2,0,146.5,100,36
222,2,2,0,157.2,104,29
223,2,2,0,162.1,93,21
224,2,2,0,166.4,100,19
225,2,2,0,169.9,104,20
226,2,2,0,177.4,93,26
227,2,2,0,180.2,106,24
228,2,2,0,183.9,108,24
229,2,2,0,190.6,108,19
230,2,2,0,196.0,111,27
231,2,2,0,201.1,111,30
232,2,2,0,208.9,111,37
233,2,2,0,215.6,111,27
234,2,2,0,224.9,111,28
235,2,2,0,232.2,108,25
236,2,2,0,239.4,111,24
237,2,2,0,242.5,109,20
238,2,2,0,247.2,111,16
239,2,2,0,251.4,111,18
240,2,2,0,260.3,108,21
241,2,2,0,267.4,108,21
242,2,2,0,271.4,108,29
243,2,2,0,282.7,111,28
244,2,2,0,286.6,111,22
245,2,2,0,293.0,111,22
246,2,2,0,301.9,106,18
247,2,2,0,308.3,111,27
248,2,2,0,312.6,111,30
249,2,2,0,318.5,104,21
250,2,2,0,322.7,104,25
251,2,2,0,325.2,100,25
252,2,2,0,328.6,104,22
253,2,2,0,336.6,108,32
254,2,2,0,339.8,111,27
255,2,2,0,346.0,108,35
256,2,2,0,353.5,108,44
257,2,2,0,355.9,100,36
258,2,2,0,359.0,97,41
259,2,2,0,364.0,97,47
260,2,2,0,367.6,106,38
261,2,2,0,369.6,100,37
262,2,2,0,373.6,90,3
263,2,2,1,0.5,82,15
264,2,2,1,1.7,93,16
265,2,2,1,2.9,97,22
266,2,2,1,6.1,97,29
267,2,2,1,9.9,90,7
268,2,2,1,9.9,108,5
269,2,2,1,14.7,93,17
270,2,2,1,15.5,91,20
271,2,2,1,16.3,100,16
272,2,2,1,18.2,93,19
273,2,2,1,20.6,100,25
274,2,2,1,24.8,97,73
275,2,2,1,26.4,100,66
276,2,2,1,29.3,97,41
277,2,2,1,30.5,95,18
278,2,2,1,30.5,93,19
279,2,2,1,33.4,93,9
280,2,2,1,33.9,93,75
281,2,2,1,33.9,93,26
282,2,2,1,37.6,95,38
283,2,2,1,41.3,100,42
284,2,2,1,44.7,100,20
285,2,2,1,46.7,100,33
286,2,2,1,49.2,97,33
287,2,2,1,51.1,93,27
288,2,2,1,53.2,7,1
289,2,2,1,53.2,93,45
290,2,2,1,55.7,97,33
291,2,2,1,57.8,97,28
292,2,2,1,57.8,97,5
293,2,2,1,57.9,97,9
294,2,2,1,57.9,97,16
295,2,2,1,61.0,102,16
296,2,2,1,63.3,100,29
297,2,2,1,66.4,100,34
298,2,2,1,68.1,97,23
299,2,2,1,69.9,100,29
300,2,2,1,75.0,100,61
301,2,2,1,88.0,100,62
302,2,2,1,92.8,100,47
303,2,2,1,95.0,104,43
304,2,2,1,98.0,102,30
305,2,2,1,104.5,104,26
306,2,2,1,112.3,104,34
307,2,2,1,129.2,100,37
308,2,2,1,138.9,104,37
309,2,2,1,146.5,100,27
310,2,2,1,157.2,97,36
311,2,2,1,162.1,108,33
312,2,2,1,166.4,108,32
313,2,2,1,169.9,104,28
314,2,2,1,177.4,111,25
315,2,2,1,180.2,111,33
316,2,2,1,183.9,108,24
317,2,2,1,190.6,115,25
318,2,2,1,196.0,111,41
319,2,2,1,201.1,111,40
320,2,2,1,208.9,104,27
321,2,2,1,215.6,111,19
322,2,2,1,224.9,111,24
323,2,2,1,232.2,109,24
324,2,2,1,239.4,115,23
325,2,2,1,242.5,118,18
326,2,2,1,247.2,108,19
327,2,2,1,251.4,106,14
328,2,2,1,260.3,111,20
329,2,2,1,267.4,111,30
330,2,2,1,271.4,111,17
331,2,2,1,282.7,111,14
332,2,2,1,286.6,108,18
333,2,2,1,293.0,111,27
334,2,2,1,301.9,111,31
335,2,2,1,308.3,111,29
336,2,2,1,312.6,108,25
337,2,2,1,318.5,106,30
338,2,2,1,322.7,111,25
339,2,2,1,325.2,111,21
340,2,2,1,328.6,108,28
341,2,2,1,336.6,115,41
342,2,2,1,339.8,109,54
343,2,2,1,346.0,108,30
344,2,2,1,353.5,108,36
345,2,2,1,356.1,104,39
346,2,2,1,359.0,104,53
347,2,2,1,364.0,117,32
348,2,2,1,367.6,106,24
349,2,2,1,368.6,0,0
350,2,3,0,1.7,97,17
351,2,3,0,2.9,90,21
352,2,3,0,6.1,91,26
353,2,3,0,9.9,93,42
354,2,3,0,14.7,93,27
355,2,3,0,15.5,97,62
356,2,3,0,17.4,115,12
357,2,3,0,20.0,99,14
358,2,3,0,20.8,93,24
359,2,3,0,21.3,93,42
360,2,3,0,23.3,93,32
361,2,3,0,25.6,95,64
362,2,3,0,27.1,97,25
363,2,3,0,29.3,97,53
364,2,3,0,33.3,99,14
365,2,3,0,34.0,97,39
366,2,3,0,34.0,93,15
367,2,3,0,37.6,90,68
368,2,3,0,41.3,99,32
369,2,3,0,44.7,97,34
370,2,3,0,44.7,97,18
371,2,3,0,46.7,93,41
372,2,3,0,49.2,97,32
373,2,3,0,51.1,100,35
374,2,3,0,53.2,100,40
375,2,3,0,55.7,100,66
376,2,3,0,55.7,0,3
377,2,3,0,57.9,106,16
378,2,3,0,58.4,102,46
379,2,3,0,60.8,122,7
380,2,3,0,60.8,106,18
381,2,3,0,63.3,104,22
382,2,3,0,63.3,104,7
383,2,3,0,66.4,104,28
384,2,3,0,68.1,100,37
385,2,3,0,69.9,100,25
386,2,3,0,75.0,100,31
387,2,3,0,75.0,106,24
388,2,3,0,88.0,100,43
389,2,3,0,92.8,100,51
390,2,3,0,95.6,104,30
391,2,3,0,97.9,104,29
392,2,3,0,104.5,100,36
393,2,3,0,112.3,108,40
394,2,3,0,129.2,100,44
395,2,3,0,138.9,104,29
396,2,3,0,146.5,104,22
397,2,3,0,157.2,95,22
398,2,3,0,162.1,95,16
399,2,3,0,166.4,104,21
400,2,3,0,169.9,102,34
401,2,3,0,177.4,97,40
402,2,3,0,180.2,102,18
403,2,3,0,183.9,108,27
404,2,3,0,190.6,108,29
405,2,3,0,196.0,115,22
406,2,3,0,201.1,111,24
407,2,3,0,208.9,108,19
408,2,3,0,215.6,111,33
409,2,3,0,224.9,111,25
410,2,3,0,232.2,104,31
411,2,3,0,239.4,109,22
412,2,3,0,242.5,111,21
413,2,3,0,247.2,108,22
414,2,3,0,251.4,106,18
415,2,3,0,260.3,111,21
416,2,3,0,267.4,108,27
417,2,3,0,271.4,108,21
418,2,3,0,282.7,111,19
419,2,3,0,286.6,108,16
420,2,3,0,293.0,108,17
421,2,3,0,301.9,111,22
422,2,3,0,308.3,108,24
423,2,3,0,312.6,106,26
424,2,3,0,318.5,99,26
425,2,3,0,322.7,104,24
426,2,3,0,325.2,104,29
427,2,3,0,328.6,104,26
428,2,3,0,336.6,108,25
429,2,3,0,339.8,111,54
430,2,3,0,346.0,108,42
431,2,3,0,353.5,102,32
432,2,3,0,355.9,100,38
433,2,3,0,359.0,106,32
434,2,3,0,364.0,104,42
435,2,3,0,367.6,104,37
436,2,3,0,369.6,97,36
437,2,3,0,373.6,88,4
438,2,3,1,0.5,90,21
439,2,3,1,1.7,93,27
440,2,3,1,2.9,93,21
441,2,3,1,6.1,100,18
442,2,3,1,9.9,93,19
443,2,3,1,9.9,104,5
444,2,3,1,14.7,100,28
445,2,3,1,15.5,97,18
446,2,3,1,16.3,93,7
447,2,3,1,18.2,93,27
448,2,3,1,20.6,100,33
449,2,3,1,24.8,93,62
450,2,3,1,26.4,93,53
451,2,3,1,29.3,97,55
452,2,3,1,30.5,97,14
453,2,3,1,30.5,99,16
454,2,3,1,33.4,93,11
455,2,3,1,33.9,97,75
456,2,3,1,33.9,93,25
457,2,3,1,37.6,93,39
458,2,3,1,41.3,100,37
459,2,3,1,44.7,97,21
460,2,3,1,46.7,97,36
461,2,3,1,49.2,104,36
462,2,3,1,51.1,97,37
463,2,3,1,53.2,7,5
464,2,3,1,53.2,93,47
465,2,3,1,55.7,97,22
466,2,3,1,57.8,97,30
467,2,3,1,57.8,97,3
468,2,3,1,57.9,93,5
469,2,3,1,57.9,97,17
470,2,3,1,61.0,100,21
471,2,3,1,63.3,97,30
472,2,3,1,66.4,100,38
473,2,3,1,68.1,93,23
474,2,3,1,69.9,104,23
475,2,3,1,75.0,104,43
476,2,3,1,88.0,104,60
477,2,3,1,92.8,104,51
478,2,3,1,95.0,100,48
479,2,3,1,98.0,104,41
480,2,3,1,104.5,104,34
481,2,3,1,112.3,104,32
482,2,3,1,129.2,104,38
483,2,3,1,138.9,104,37
484,2,3,1,146.5,104,38
485,2,3,1,157.2,104,30
486,2,3,1,162.1,104,19
487,2,3,1,166.4,104,34
488,2,3,1,169.9,108,31
489,2,3,1,177.4,108,20
490,2,3,1,180.2,104,33
491,2,3,1,183.9,108,29
492,2,3,1,190.6,111,30
493,2,3,1,196.0,111,30
494,2,3,1,201.1,111,39
495,2,3,1,208.9,111,37
496,2,3,1,215.6,108,26
497,2,3,1,224.9,104,21
498,2,3,1,232.2,109,24
499,2,3,1,239.4,115,22
500,2,3,1,242.5,115,18
501,2,3,1,247.2,108,22
502,2,3,1,251.4,111,21
503,2,3,1,260.3,108,16
504,2,3,1,267.4,111,13
505,2,3,1,271.4,111,25
506,2,3,1,282.7,108,18
507,2,3,1,286.6,111,17
508,2,3,1,293.0,108,23
509,2,3,1,301.9,109,26
510,2,3,1,308.3,111,34
511,2,3,1,312.6,108,29
512,2,3,1,318.5,108,24
513,2,3,1,322.7,111,27
514,2,3,1,325.2,108,17
515,2,3,1,328.6,108,31
516,2,3,1,336.6,111,35
517,2,3,1,339.8,111,40
518,2,3,1,346.0,108,52
519,2,3,1,353.5,104,56
520,2,3,1,356.1,108,45
521,2,3,1,359.0,108,41
522,2,3,1,364.0,108,45
523,2,3,1,367.6,108,52
524,2,3,1,368.6,86,1
525,2,4,0,1.7,90,20
526,2,4,0,2.9,90,28
527,2,4,0,6.1,97,37
528,2,4,0,9.9,97,55
529,2,4,0,14.7,97,31
530,2,4,0,15.5,97,52
531,2,4,0,17.4,115,7
532,2,4,0,20.0,93,14
533,2,4,0,20.8,97,27
534,2,4,0,21.3,93,30
535,2,4,0,23.3,90,33
536,2,4,0,25.6,91,44
537,2,4,0,27.1,100,36
538,2,4,0,29.3,95,36
539,2,4,0,33.3,100,21
540,2,4,0,34.0,97,36
541,2,4,0,34.0,100,14
542,2,4,0,37.6,93,61
543,2,4,0,41.3,97,38
544,2,4,0,44.7,97,27
545,2,4,0,44.7,99,12
546,2,4,0,46.7,97,41
